rank,task_id,conf_test_only,conf_semantic_ir,delta,relation,is_current_semantic_ir_win,is_current_test_only_win,is_conf0_rescue_regime,has_catchall_signal,violation_type,scenario_index,constraint_text,rationale
23,HardSynthetic.HardCase013,0.9583333333333334,0.9583333333333334,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
24,HardSynthetic.HardCase014,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
25,HardSynthetic.HardCase015,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
26,HardSynthetic.HardCase016,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
27,HardSynthetic.HardCase017,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
28,HardSynthetic.HardCase018,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
29,HardSynthetic.HardCase019,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
30,HardSynthetic.HardCase020,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
31,HardSynthetic.HardCase021,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
32,HardSynthetic.HardCase022,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
33,HardSynthetic.HardCase023,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
34,HardSynthetic.HardCase024,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
35,HardSynthetic.HardCase025,0.9583333333333334,0.9583333333333334,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
36,HardSynthetic.HardCase026,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
37,HardSynthetic.HardCase027,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
38,HardSynthetic.HardCase030,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
39,HardSynthetic.HardCase032,0.9583333333333334,0.9583333333333334,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
40,HardSynthetic.HardCase033,0.875,0.875,0.0,tie,False,False,False,True,arithmetic,8,others,Headroom task with catch-all/others feedback signal
